dataset_1,dataset_2,dataset,model,time (sec),precision,recall,f1,good_behavior_response_rate,examples
tmdb,tvdb,D7,gemma3n-z-p1,1048.6223816871643,0.3702048417132216,0.9920159680638723,0.5391917548142121,1.0,vector_based_examples_dict_1
tmdb,tvdb,D7,gemma3n-z-p2,997.2308309078217,0.33524258760107817,0.9930139720558883,0.5012594458438288,1.0,vector_based_examples_dict_1
tmdb,tvdb,D7,gemma3n-ft-p1,1499.506674528122,0.4513399153737659,0.9580838323353293,0.613614573346117,1.0,vector_based_examples_dict_1
tmdb,tvdb,D7,gemma3n-ft-p2,1398.4114634990692,0.47922998986828774,0.9441117764471058,0.635752688172043,1.0,vector_based_examples_dict_1
tmdb,tvdb,D7,gemma3n-tf-p1,1499.0628159046173,0.48686974789915966,0.9251497005988024,0.6379903647625602,1.0,vector_based_examples_dict_1
tmdb,tvdb,D7,gemma3n-tf-p2,1398.8985576629639,0.4782838983050847,0.9011976047904192,0.6249134948096886,1.0,vector_based_examples_dict_1
tmdb,tvdb,D7,qwen2.5-z-p1,537.4354710578918,0.46346063177746344,0.9810379241516967,0.6295228946525776,1.0,vector_based_examples_dict_1
tmdb,tvdb,D7,qwen2.5-z-p2,534.3873479366302,0.45605920444033304,0.9840319361277445,0.6232616940581542,1.0,vector_based_examples_dict_1
tmdb,tvdb,D7,qwen2.5-ft-p1,552.0208370685577,0.4602803738317757,0.9830339321357285,0.6269891788669637,1.0,vector_based_examples_dict_1
tmdb,tvdb,D7,qwen2.5-ft-p2,551.3678324222565,0.45601105481345,0.9880239520958084,0.6240151276394579,1.0,vector_based_examples_dict_1
tmdb,tvdb,D7,qwen2.5-tf-p1,552.0270276069641,0.43118466898954705,0.9880239520958084,0.6003638568829593,1.0,vector_based_examples_dict_1
tmdb,tvdb,D7,qwen2.5-tf-p2,549.3642110824585,0.43927304964539005,0.9890219560878244,0.6083486801718846,1.0,vector_based_examples_dict_1
tmdb,tvdb,D7,llama3.1-z-p1,562.8476965427399,0.308716323296355,0.9720558882235529,0.4686071686312244,0.992128801431127,vector_based_examples_dict_1
tmdb,tvdb,D7,llama3.1-z-p2,553.4776186943054,0.27722206344669903,0.9680638722554891,0.43101532992668296,0.9980322003577817,vector_based_examples_dict_1
tmdb,tvdb,D7,llama3.1-ft-p1,597.8880865573883,0.3723252496433666,0.781437125748503,0.5043478260869565,0.9738819320214669,vector_based_examples_dict_1
tmdb,tvdb,D7,llama3.1-ft-p2,575.3131382465363,0.2867430441898527,0.874251497005988,0.43184619176731576,0.9923076923076923,vector_based_examples_dict_1
tmdb,tvdb,D7,llama3.1-tf-p1,575.8073599338531,0.2835465635227611,0.9510978043912176,0.4368553747421499,0.9944543828264758,vector_based_examples_dict_1
tmdb,tvdb,D7,llama3.1-tf-p2,569.9425361156464,0.275882012724118,0.9520958083832335,0.42780269058295967,0.998747763864043,vector_based_examples_dict_1
tmdb,tvdb,D7,orca2-z-p1,426.3110601902008,0.4024024024024024,0.936127744510978,0.5628562856285628,0.9828264758497317,vector_based_examples_dict_1
tmdb,tvdb,D7,orca2-z-p2,410.34388875961304,0.4449112978524743,0.9510978043912176,0.6062340966921119,0.9915921288014311,vector_based_examples_dict_1
tmdb,tvdb,D7,orca2-ft-p1,443.9183838367462,0.4662203286670724,0.7644710578842315,0.5792060491493384,0.9892665474060823,vector_based_examples_dict_1
tmdb,tvdb,D7,orca2-ft-p2,432.595986366272,0.4348894348894349,0.8832335329341318,0.5828119855120184,0.995169946332737,vector_based_examples_dict_1
tmdb,tvdb,D7,orca2-tf-p1,427.90069222450256,0.5118043844856661,0.6057884231536926,0.5548446069469836,0.9998211091234347,vector_based_examples_dict_1
tmdb,tvdb,D7,orca2-tf-p2,426.3163330554962,0.43693931398416885,0.8263473053892215,0.5716258198136003,0.9996422182468694,vector_based_examples_dict_1
tmdb,tvdb,D7,openhermes-z-p1,415.60916924476624,0.35437069278200944,0.9750499001996008,0.5198191008246874,1.0,vector_based_examples_dict_1
tmdb,tvdb,D7,openhermes-z-p2,410.61416888237,0.3344744950359466,0.9750499001996008,0.49808819780780017,0.9998211091234347,vector_based_examples_dict_1
tmdb,tvdb,D7,openhermes-ft-p1,432.8135645389557,0.39028275587415373,0.9780439121756487,0.5579276971249644,1.0,vector_based_examples_dict_1
tmdb,tvdb,D7,openhermes-ft-p2,433.70020627975464,0.38351822503961963,0.9660678642714571,0.5490640952921158,1.0,vector_based_examples_dict_1
tmdb,tvdb,D7,openhermes-tf-p1,433.96887373924255,0.36293859649122806,0.9910179640718563,0.5313001605136437,1.0,vector_based_examples_dict_1
tmdb,tvdb,D7,openhermes-tf-p2,432.2359321117401,0.36061381074168797,0.9850299401197605,0.5279486493714897,1.0,vector_based_examples_dict_1
tmdb,tvdb,D7,zephyr-z-p1,508.20015954971313,0.3858885017421603,0.8842315369261478,0.5372953305033353,0.9404293381037567,vector_based_examples_dict_1
tmdb,tvdb,D7,zephyr-z-p2,517.9674334526062,0.43607068607068605,0.8373253493013972,0.5734791524265208,0.9203935599284436,vector_based_examples_dict_1
tmdb,tvdb,D7,zephyr-ft-p1,724.7151718139648,0.4523809523809524,0.720558882235529,0.5558121632024634,0.7656529516994633,vector_based_examples_dict_1
tmdb,tvdb,D7,zephyr-ft-p2,842.8848702907562,0.4188861985472155,0.34530938123752497,0.3785557986870897,0.5915921288014311,vector_based_examples_dict_1
tmdb,tvdb,D7,zephyr-tf-p1,786.2676622867584,0.5088028169014085,0.2884231536926148,0.3681528662420382,0.5960644007155635,vector_based_examples_dict_1
tmdb,tvdb,D7,zephyr-tf-p2,850.8924694061279,0.43364928909952605,0.18263473053892215,0.25702247191011235,0.5377459749552773,vector_based_examples_dict_1
tmdb,tvdb,D7,gemma3n-ft-p1,1397.6433975696564,0.3864603481624758,0.9970059880239521,0.5570114301644828,1.0,vector_based_examples_dict_2
tmdb,tvdb,D7,gemma3n-ft-p2,1313.1957948207855,0.39681908548707756,0.9960079840319361,0.567529144156952,1.0,vector_based_examples_dict_2
tmdb,tvdb,D7,gemma3n-tf-p1,1395.0075945854187,0.4228644283892903,0.9930139720558883,0.5931445603576752,1.0,vector_based_examples_dict_2
tmdb,tvdb,D7,gemma3n-tf-p2,1313.3736715316772,0.4128099173553719,0.9970059880239521,0.5838690824079485,1.0,vector_based_examples_dict_2
tmdb,tvdb,D7,qwen2.5-ft-p1,543.2656860351562,0.4445438282647585,0.9920159680638723,0.6139592340951204,1.0,vector_based_examples_dict_2
tmdb,tvdb,D7,qwen2.5-ft-p2,540.8633177280426,0.45264116575591984,0.9920159680638723,0.6216385240775485,1.0,vector_based_examples_dict_2
tmdb,tvdb,D7,qwen2.5-tf-p1,543.2074208259583,0.4423676012461059,0.9920159680638723,0.6118805786395815,1.0,vector_based_examples_dict_2
tmdb,tvdb,D7,qwen2.5-tf-p2,540.4628517627716,0.4477477477477477,0.9920159680638723,0.617008069522036,1.0,vector_based_examples_dict_2
tmdb,tvdb,D7,llama3.1-ft-p1,560.99369764328,0.3119768190598841,0.9670658682634731,0.4717624148003895,1.0,vector_based_examples_dict_2
tmdb,tvdb,D7,llama3.1-ft-p2,556.5095567703247,0.26913512019895,0.9720558882235529,0.42155377623890933,0.9983899821109123,vector_based_examples_dict_2
tmdb,tvdb,D7,llama3.1-tf-p1,559.992842912674,0.24763092269326684,0.9910179640718563,0.3962490023942538,0.9991055456171736,vector_based_examples_dict_2
tmdb,tvdb,D7,llama3.1-tf-p2,558.9116015434265,0.2266636384283443,0.9960079840319361,0.3692876965772433,0.9991055456171736,vector_based_examples_dict_2
tmdb,tvdb,D7,orca2-ft-p1,417.76159834861755,0.34597327555074037,0.9560878243512974,0.5080880403076107,1.0,vector_based_examples_dict_2
tmdb,tvdb,D7,orca2-ft-p2,413.3394696712494,0.3960720130932897,0.9660678642714571,0.5618107951247824,0.9998211091234347,vector_based_examples_dict_2
tmdb,tvdb,D7,orca2-tf-p1,415.576459646225,0.32971014492753625,0.908183632734531,0.4837852206273259,0.9996422182468694,vector_based_examples_dict_2
tmdb,tvdb,D7,orca2-tf-p2,412.10930728912354,0.3905002101723413,0.9271457085828343,0.5495415557527359,1.0,vector_based_examples_dict_2
tmdb,tvdb,D7,openhermes-ft-p1,423.5529942512512,0.40387788778877887,0.9770459081836327,0.5715119673088149,1.0,vector_based_examples_dict_2
tmdb,tvdb,D7,openhermes-ft-p2,417.85555624961853,0.4408201304753029,0.9441117764471058,0.6010165184243964,1.0,vector_based_examples_dict_2
tmdb,tvdb,D7,openhermes-tf-p1,420.02380990982056,0.4152866242038217,0.9760479041916168,0.58266309204647,1.0,vector_based_examples_dict_2
tmdb,tvdb,D7,openhermes-tf-p2,419.8659954071045,0.42876224398931434,0.9610778443113772,0.5929802955665024,1.0,vector_based_examples_dict_2
tmdb,tvdb,D7,zephyr-ft-p1,710.4864985942841,0.45760598503740646,0.3662674650698603,0.40687361419068735,0.7101967799642218,vector_based_examples_dict_2
tmdb,tvdb,D7,zephyr-ft-p2,772.8314785957336,0.42857142857142855,0.1377245508982036,0.2084592145015106,0.5382826475849731,vector_based_examples_dict_2
tmdb,tvdb,D7,zephyr-tf-p1,563.1157517433167,0.49166666666666664,0.7065868263473054,0.5798525798525799,0.8316636851520572,vector_based_examples_dict_2
tmdb,tvdb,D7,zephyr-tf-p2,574.040962934494,0.44675925925925924,0.3852295409181637,0.4137191854233655,0.7300536672629696,vector_based_examples_dict_2
tmdb,tvdb,D7,gemma3n-ft-p1,1546.8425469398499,0.39034915653197333,0.9930139720558883,0.5604055195719516,1.0,join_examples_dict_1
tmdb,tvdb,D7,gemma3n-ft-p2,1434.2588484287262,0.44878957169459965,0.9620758483033932,0.6120634920634921,1.0,join_examples_dict_1
tmdb,tvdb,D7,gemma3n-tf-p1,1546.1698863506317,0.4603844350679794,0.9800399201596807,0.6264752791068581,1.0,join_examples_dict_1
tmdb,tvdb,D7,gemma3n-tf-p2,1432.9245479106903,0.4663162924032489,0.9740518962075848,0.6306946688206785,1.0,join_examples_dict_1
tmdb,tvdb,D7,qwen2.5-ft-p1,552.5664258003235,0.45742205677059095,0.9810379241516967,0.6239289114566804,1.0,join_examples_dict_1
tmdb,tvdb,D7,qwen2.5-ft-p2,552.1676585674286,0.4586431226765799,0.9850299401197605,0.6258719086873811,1.0,join_examples_dict_1
tmdb,tvdb,D7,qwen2.5-tf-p1,553.4623193740845,0.4639618138424821,0.9700598802395209,0.6277042298999032,1.0,join_examples_dict_1
tmdb,tvdb,D7,qwen2.5-tf-p2,553.6573905944824,0.4646080760095012,0.9760479041916168,0.6295461860315417,1.0,join_examples_dict_1
tmdb,tvdb,D7,llama3.1-ft-p1,579.7651009559631,0.31858119101854865,0.9770459081836327,0.48049079754601226,0.9942754919499106,join_examples_dict_1
tmdb,tvdb,D7,llama3.1-ft-p2,570.5443370342255,0.2367103694874851,0.9910179640718563,0.3821435443525111,0.9980322003577817,join_examples_dict_1
tmdb,tvdb,D7,llama3.1-tf-p1,566.0983772277832,0.25233881163084704,0.9960079840319361,0.4026629009481541,1.0,join_examples_dict_1
tmdb,tvdb,D7,llama3.1-tf-p2,566.5972256660461,0.22133333333333333,0.9940119760479041,0.36205016357688113,0.9996422182468694,join_examples_dict_1
tmdb,tvdb,D7,orca2-ft-p1,429.9999678134918,0.468384074941452,0.7984031936127745,0.5904059040590406,1.0,join_examples_dict_1
tmdb,tvdb,D7,orca2-ft-p2,425.26836037635803,0.45053818554587394,0.8772455089820359,0.5953267863189976,0.9992844364937388,join_examples_dict_1
tmdb,tvdb,D7,orca2-tf-p1,426.1609206199646,0.41459545214172394,0.782435129740519,0.5419979260283443,0.9998211091234347,join_examples_dict_1
tmdb,tvdb,D7,orca2-tf-p2,422.67316198349,0.40646976090014064,0.8652694610778443,0.55311004784689,1.0,join_examples_dict_1
tmdb,tvdb,D7,openhermes-ft-p1,435.39639258384705,0.40321217244294166,0.9520958083832335,0.5665083135391924,1.0,join_examples_dict_1
tmdb,tvdb,D7,openhermes-ft-p2,430.59846353530884,0.3913764510779436,0.9421157684630739,0.5530169888693615,1.0,join_examples_dict_1
tmdb,tvdb,D7,openhermes-tf-p1,431.7857735157013,0.41464471403812825,0.9550898203592815,0.5782477341389728,1.0,join_examples_dict_1
tmdb,tvdb,D7,openhermes-tf-p2,431.29485845565796,0.4177660510114336,0.9481037924151696,0.57997557997558,1.0,join_examples_dict_1
tmdb,tvdb,D7,zephyr-ft-p1,802.9996290206909,0.5347222222222222,0.23053892215568864,0.32217573221757323,0.6479427549194992,join_examples_dict_1
tmdb,tvdb,D7,zephyr-ft-p2,942.3500101566315,0.5114503816793893,0.06686626746506986,0.11827007943512798,0.5322003577817531,join_examples_dict_1
tmdb,tvdb,D7,zephyr-tf-p1,788.8756439685822,0.5512820512820513,0.34331337325349304,0.4231242312423124,0.6731663685152057,join_examples_dict_1
tmdb,tvdb,D7,zephyr-tf-p2,841.1466462612152,0.4884318766066838,0.18962075848303392,0.2731847591660676,0.6055456171735242,join_examples_dict_1
tmdb,tvdb,D7,gemma3n-ft-p1,1427.258945465088,0.3958003169572108,0.9970059880239521,0.5666477595008508,1.0,join_examples_dict_2
tmdb,tvdb,D7,gemma3n-ft-p2,1336.2934865951538,0.38393543428132204,0.9970059880239521,0.5543840177580466,1.0,join_examples_dict_2
tmdb,tvdb,D7,gemma3n-tf-p1,1423.5831894874573,0.3852680293096799,0.9970059880239521,0.5557719054242003,1.0,join_examples_dict_2
tmdb,tvdb,D7,gemma3n-tf-p2,1337.5753750801086,0.34881284916201116,0.9970059880239521,0.5168132436627004,1.0,join_examples_dict_2
tmdb,tvdb,D7,qwen2.5-ft-p1,545.4502580165863,0.44614691302388465,0.9880239520958084,0.614715926730829,1.0,join_examples_dict_2
tmdb,tvdb,D7,qwen2.5-ft-p2,542.0448126792908,0.4443946188340807,0.9890219560878244,0.6132425742574258,1.0,join_examples_dict_2
tmdb,tvdb,D7,qwen2.5-tf-p1,544.1107668876648,0.4326210204971653,0.9900199600798403,0.6021244309559939,1.0,join_examples_dict_2
tmdb,tvdb,D7,qwen2.5-tf-p2,541.6101126670837,0.43612334801762115,0.9880239520958084,0.6051344743276283,1.0,join_examples_dict_2
tmdb,tvdb,D7,llama3.1-ft-p1,568.8937425613403,0.39428111155859846,0.9770459081836327,0.5618364418938308,0.9944543828264758,join_examples_dict_2
tmdb,tvdb,D7,llama3.1-ft-p2,568.0102167129517,0.2889344262295082,0.9850299401197605,0.44680851063829785,0.9919499105545617,join_examples_dict_2
