dataset_1,dataset_2,dataset,model,time (sec),precision,recall,f1,good_behavior_response_rate,examples,total_matches,D1_conflicts,D2_conflicts
imdb,tmdb,D5,gemma3n-z-p1,1066.9231729507446,0.7445956765412329,0.9830866807610994,0.8473804100227791,1.0,vector_based_examples_dict_1,2498,0.0948759007205764,0.0060048038430744
imdb,tmdb,D5,gemma3n-z-p2,1012.9597163200378,0.7142857142857143,0.9857293868921776,0.8283366644459249,1.0,vector_based_examples_dict_1,2611,0.1237073918039065,0.011106855610877
imdb,tmdb,D5,gemma3n-ft-p1,1464.2424902915957,0.7205948625506985,0.845137420718816,0.7779129165653126,1.0,vector_based_examples_dict_1,2219,0.1117620549797206,0.0130689499774673
imdb,tmdb,D5,gemma3n-ft-p2,1372.1721122264862,0.728564661297963,0.8128964059196617,0.7684236822383212,1.0,vector_based_examples_dict_1,2111,0.1018474656560871,0.0104216011369019
imdb,tmdb,D5,gemma3n-tf-p1,1462.406596660614,0.7516966067864271,0.9952431289640592,0.8564930634523539,1.0,vector_based_examples_dict_1,2505,0.0926147704590818,0.0083832335329341
imdb,tmdb,D5,gemma3n-tf-p2,1371.8278467655182,0.730799069045772,0.9957716701902748,0.8429530201342282,1.0,vector_based_examples_dict_1,2578,0.1210240496508921,0.0139643134212567
imdb,tmdb,D5,qwen2.5-z-p1,531.2194037437439,0.7975161987041036,0.7806553911205074,0.7889957264957265,1.0,vector_based_examples_dict_1,1852,0.0377969762419006,0.0016198704103671
imdb,tmdb,D5,qwen2.5-z-p2,527.2680566310883,0.7992904206791688,0.8335095137420718,0.8160413971539456,1.0,vector_based_examples_dict_1,1973,0.0415610745058286,0.0030410542321338
imdb,tmdb,D5,qwen2.5-ft-p1,540.5703654289246,0.8141143911439115,0.9328752642706131,0.8694581280788177,1.0,vector_based_examples_dict_1,2168,0.0341328413284132,0.0013837638376383
imdb,tmdb,D5,qwen2.5-ft-p2,538.3537771701813,0.8210045662100457,0.9503171247357294,0.8809407153356198,1.0,vector_based_examples_dict_1,2190,0.0301369863013698,0.0
imdb,tmdb,D5,qwen2.5-tf-p1,537.9718022346497,0.8033435987681479,0.9651162790697675,0.8768307322929172,1.0,vector_based_examples_dict_1,2273,0.0382754069511658,0.0004399472063352
imdb,tmdb,D5,qwen2.5-tf-p2,538.040923833847,0.8103677447939743,0.9667019027484144,0.8816582308990119,1.0,vector_based_examples_dict_1,2257,0.0336730172795746,0.000886132033673
imdb,tmdb,D5,llama3.1-z-p1,538.6671032905579,0.5826292666441365,0.9112050739957717,0.7107812822098536,0.9986601909227936,vector_based_examples_dict_1,2959,0.2010814464346063,0.0101385603244339
imdb,tmdb,D5,llama3.1-z-p2,534.7325210571289,0.5740493662441628,0.9096194503171248,0.7038854805725971,0.998325238653492,vector_based_examples_dict_1,2998,0.2058038692461641,0.0126751167444963
imdb,tmdb,D5,llama3.1-ft-p1,548.1474096775055,0.6158586688578471,0.7922832980972516,0.6930189551548774,0.9978228102495394,vector_based_examples_dict_1,2434,0.1910435497124075,0.009860312243221
imdb,tmdb,D5,llama3.1-ft-p2,550.495199918747,0.5500658761528326,0.8826638477801269,0.6777597402597403,0.9956456204990788,vector_based_examples_dict_1,3036,0.2486824769433465,0.0128458498023715
imdb,tmdb,D5,llama3.1-tf-p1,546.1721799373627,0.5110304384250209,0.96723044397463,0.6687374383336379,0.9986601909227936,vector_based_examples_dict_1,3581,0.3001954761239877,0.0153588383133203
imdb,tmdb,D5,llama3.1-tf-p2,548.2096748352051,0.4989299090422686,0.9857293868921776,0.6625222024866785,0.9966504773069838,vector_based_examples_dict_1,3738,0.3215623327982878,0.017924023542001
imdb,tmdb,D5,orca2-z-p1,396.4850106239319,0.6823664560597358,0.627906976744186,0.6540049545829892,0.991123764863507,vector_based_examples_dict_1,1737,0.0898100172711571,0.005181347150259
imdb,tmdb,D5,orca2-z-p2,381.8711094856262,0.7590439276485789,0.6210359408033826,0.6831395348837209,0.9984927147881428,vector_based_examples_dict_1,1546,0.0582147477360931,0.0045278137128072
imdb,tmdb,D5,orca2-ft-p1,398.7634973526001,0.5910867865519938,0.39957716701902746,0.4768211920529801,0.9994975715960476,vector_based_examples_dict_1,1279,0.2118842845973416,0.0258014073494917
imdb,tmdb,D5,orca2-ft-p2,395.1980686187744,0.6472411655300682,0.5517970401691332,0.5957203994293866,1.0,vector_based_examples_dict_1,1613,0.184748915065096,0.0241785492870427
imdb,tmdb,D5,orca2-tf-p1,396.8715093135834,0.6538131962296486,0.403276955602537,0.4988558352402746,1.0,vector_based_examples_dict_1,1167,0.1525278491859468,0.0137103684661525
